,nominal_temperature,boundary_conditions
39,86,"[23, 56, 60, 62, 41, 12, 33, 38, 58, 67, 38, 80, 41, 39, 3, 39, 39, 33, 18, 10, 71, 41, 75, 7, 100, 29, 85, 37, 62, 54, 52, 32, 16, 57, 54, 44]"
40,91,"[16, 9, 11, 85, 70, 49, 89, 9, 32, 37, 35, 97, 26, 76, 1, 93, 62, 12, 13, 53, 9, 21, 4, 53, 29, 88, 28, 8, 16, 51, 78, 61, 40, 48, 37, 80]"
41,81,"[69, 12, 30, 93, 74, 89, 98, 67, 81, 85, 37, 14, 62, 28, 77, 69, 10, 19, 59, 8, 15, 82, 93, 99, 9, 84, 63, 65, 10, 14, 21, 20, 89, 16, 24, 24]"
42,62,"[84, 33, 31, 61, 8, 3, 92, 66, 82, 26, 6, 66, 75, 27, 27, 49, 36, 50, 71, 56, 3, 9, 66, 76, 21, 62, 65, 88, 71, 35, 1, 7, 5, 14, 62, 66]"
43,86,"[55, 9, 65, 88, 54, 66, 99, 57, 79, 33, 71, 29, 77, 4, 63, 78, 25, 70, 26, 28, 77, 43, 56, 30, 35, 15, 42, 99, 89, 59, 66, 12, 93, 10, 33, 53]"
44,4,"[28, 51, 91, 99, 68, 78, 50, 10, 11, 53, 77, 11, 26, 74, 89, 43, 99, 81, 28, 96, 67, 36, 6, 49, 42, 53, 49, 90, 36, 99, 36, 38, 99, 33, 69, 53]"
45,23,"[99, 71, 32, 83, 37, 69, 79, 52, 39, 58, 32, 26, 56, 69, 71, 64, 98, 55, 18, 72, 59, 35, 37, 7, 49, 66, 6, 11, 9, 23, 58, 18, 69, 60, 26, 12]"
46,68,"[4, 99, 7, 56, 50, 95, 89, 86, 7, 90, 82, 29, 10, 97, 24, 53, 80, 35, 14, 31, 39, 61, 83, 14, 8, 43, 25, 95, 57, 97, 70, 59, 77, 43, 100, 34]"
47,65,"[96, 57, 40, 60, 2, 99, 77, 31, 10, 93, 60, 47, 60, 90, 26, 61, 41, 85, 81, 36, 73, 41, 100, 73, 67, 33, 94, 7, 45, 21, 31, 4, 78, 21, 34, 1]"
48,85,"[16, 75, 12, 35, 95, 93, 28, 93, 39, 17, 4, 25, 15, 15, 10, 84, 47, 47, 77, 99, 57, 42, 91, 25, 46, 22, 32, 64, 74, 85, 24, 7, 91, 61, 84, 5]"
49,90,"[27, 49, 40, 15, 76, 12, 36, 69, 12, 57, 64, 93, 1, 72, 11, 20, 95, 97, 26, 89, 72, 62, 33, 93, 47, 44, 6, 81, 74, 38, 34, 71, 15, 36, 80, 22]"
50,43,"[65, 33, 80, 76, 44, 78, 93, 37, 31, 25, 8, 27, 36, 82, 80, 58, 13, 38, 31, 31, 35, 92, 84, 84, 75, 17, 22, 42, 61, 31, 85, 32, 72, 18, 51, 14]"
51,10,"[78, 42, 49, 7, 69, 35, 73, 41, 70, 84, 64, 55, 28, 26, 76, 32, 63, 84, 46, 56, 76, 100, 42, 39, 86, 19, 58, 90, 53, 48, 51, 8, 89, 37, 72, 70]"
52,49,"[98, 9, 79, 77, 52, 27, 96, 22, 9, 96, 28, 48, 91, 68, 38, 8, 14, 67, 40, 42, 24, 48, 80, 77, 29, 15, 14, 91, 17, 1, 90, 39, 69, 5, 62, 3]"
53,18,"[98, 79, 100, 43, 32, 62, 83, 29, 92, 4, 66, 52, 77, 21, 14, 5, 15, 29, 22, 100, 2, 4, 65, 78, 63, 17, 37, 67, 20, 91, 49, 32, 65, 28, 4, 3]"
54,7,"[44, 9, 97, 51, 21, 63, 100, 4, 59, 54, 96, 78, 53, 99, 2, 63, 44, 48, 77, 71, 88, 43, 50, 53, 12, 86, 10, 92, 72, 7, 4, 96, 62, 76, 40, 62]"
55,78,"[84, 4, 60, 7, 29, 100, 46, 74, 85, 96, 7, 90, 99, 85, 48, 80, 35, 68, 41, 44, 87, 68, 68, 31, 83, 2, 78, 57, 16, 90, 4, 82, 20, 81, 39, 74]"
56,3,"[5, 67, 87, 18, 75, 72, 4, 67, 64, 62, 36, 16, 57, 57, 61, 81, 96, 7, 29, 67, 85, 68, 75, 7, 83, 57, 24, 81, 72, 96, 85, 10, 51, 34, 47, 8]"
57,53,"[30, 13, 94, 6, 62, 33, 97, 79, 54, 49, 23, 31, 15, 15, 60, 5, 59, 53, 60, 69, 7, 41, 91, 37, 63, 37, 40, 90, 15, 90, 43, 1, 0, 19, 14, 68]"
58,0,"[68, 41, 32, 81, 45, 42, 87, 19, 63, 7, 24, 96, 95, 75, 56, 88, 27, 68, 60, 71, 77, 83, 56, 97, 25, 81, 59, 10, 50, 27, 33, 18, 23, 9, 40, 83]"
59,33,"[40, 68, 16, 52, 83, 32, 71, 39, 38, 48, 4, 64, 27, 43, 86, 71, 57, 69, 1, 51, 4, 46, 4, 42, 64, 16, 30, 4, 27, 73, 28, 60, 73, 42, 5, 51]"
60,17,"[8, 62, 47, 90, 7, 19, 50, 11, 46, 36, 19, 11, 68, 93, 22, 19, 97, 16, 92, 59, 22, 7, 37, 8, 86, 2, 8, 100, 7, 94, 46, 1, 93, 12, 14, 34]"
61,75,"[38, 89, 19, 8, 55, 36, 81, 68, 54, 49, 26, 24, 86, 59, 26, 27, 51, 71, 19, 2, 61, 19, 62, 44, 84, 55, 63, 25, 92, 73, 63, 93, 47, 37, 2, 30]"
62,82,"[96, 37, 51, 73, 13, 60, 97, 2, 24, 51, 66, 40, 90, 97, 81, 35, 96, 56, 55, 42, 93, 52, 51, 48, 71, 78, 57, 1, 41, 52, 8, 81, 25, 13, 16, 82]"
63,13,"[36, 28, 12, 4, 51, 60, 57, 34, 59, 59, 46, 42, 15, 87, 46, 16, 26, 22, 37, 66, 19, 2, 62, 100, 84, 84, 89, 46, 37, 14, 64, 26, 35, 43, 46, 44]"
64,100,"[26, 49, 92, 92, 20, 32, 22, 81, 30, 48, 86, 54, 45, 96, 46, 1, 42, 60, 46, 100, 53, 50, 21, 87, 12, 93, 54, 38, 65, 62, 43, 55, 23, 79, 18, 90]"
65,56,"[23, 35, 58, 78, 10, 48, 18, 94, 97, 2, 42, 95, 77, 79, 62, 29, 82, 100, 93, 30, 27, 46, 88, 1, 39, 85, 14, 10, 42, 76, 23, 76, 5, 53, 81, 21]"
66,26,"[2, 27, 25, 97, 59, 97, 5, 43, 88, 58, 35, 13, 25, 11, 91, 45, 9, 21, 62, 81, 50, 0, 23, 78, 26, 59, 90, 99, 46, 68, 73, 48, 68, 14, 87, 46]"
67,17,"[2, 49, 25, 15, 10, 100, 28, 32, 56, 93, 77, 30, 16, 2, 99, 93, 73, 86, 70, 39, 83, 1, 19, 35, 86, 42, 81, 72, 74, 84, 99, 52, 100, 99, 98, 10]"
68,5,"[80, 36, 21, 32, 80, 49, 42, 38, 17, 87, 16, 12, 16, 92, 45, 40, 66, 27, 92, 42, 78, 62, 28, 44, 57, 58, 87, 49, 0, 15, 3, 9, 1, 96, 33, 83]"
69,19,"[54, 83, 59, 32, 23, 97, 24, 10, 86, 77, 40, 72, 47, 64, 90, 12, 30, 70, 78, 66, 17, 66, 43, 34, 48, 89, 1, 3, 95, 95, 3, 9, 65, 1, 88, 34]"
70,36,"[34, 89, 73, 63, 26, 7, 58, 48, 89, 69, 52, 96, 4, 50, 22, 71, 48, 79, 59, 3, 13, 79, 61, 3, 29, 87, 99, 63, 19, 29, 93, 41, 26, 46, 48, 100]"
71,65,"[52, 59, 79, 50, 68, 91, 53, 33, 7, 77, 62, 81, 21, 10, 55, 31, 2, 73, 77, 46, 2, 37, 52, 53, 96, 3, 9, 15, 78, 11, 9, 78, 33, 74, 32, 3]"
72,13,"[98, 21, 100, 57, 79, 28, 98, 66, 36, 24, 79, 57, 49, 55, 68, 31, 30, 69, 35, 13, 94, 19, 66, 5, 77, 62, 26, 62, 46, 19, 63, 87, 46, 26, 39, 9]"
73,89,"[74, 44, 15, 78, 56, 77, 41, 54, 70, 46, 25, 39, 50, 69, 46, 84, 100, 90, 12, 31, 20, 15, 35, 41, 44, 6, 71, 25, 14, 51, 29, 96, 19, 89, 20, 54]"
74,63,"[65, 31, 84, 64, 60, 97, 77, 41, 76, 16, 100, 86, 34, 49, 57, 94, 16, 69, 96, 41, 10, 9, 54, 95, 49, 63, 71, 71, 50, 61, 43, 51, 82, 14, 16, 61]"
75,74,"[13, 18, 84, 20, 42, 52, 2, 63, 84, 48, 91, 6, 64, 32, 72, 53, 92, 60, 78, 30, 71, 33, 94, 56, 0, 2, 4, 48, 32, 69, 94, 50, 73, 41, 78, 94]"
76,99,"[75, 41, 34, 28, 37, 43, 34, 82, 93, 68, 29, 25, 45, 59, 43, 68, 9, 58, 74, 32, 57, 86, 54, 31, 91, 33, 23, 84, 45, 93, 38, 2, 74, 73, 34, 47]"
77,40,"[84, 72, 2, 75, 8, 90, 99, 78, 40, 17, 57, 77, 20, 18, 79, 59, 79, 56, 15, 67, 100, 62, 39, 59, 84, 87, 86, 73, 91, 30, 61, 88, 47, 24, 42, 9]"
78,92,"[20, 37, 25, 31, 61, 92, 77, 29, 18, 75, 92, 53, 69, 21, 6, 68, 94, 81, 4, 61, 88, 62, 26, 3, 10, 94, 53, 59, 81, 95, 69, 62, 20, 48, 8, 0]"
79,18,"[74, 88, 42, 11, 32, 59, 77, 40, 36, 95, 72, 74, 6, 100, 24, 33, 0, 14, 81, 70, 27, 29, 56, 59, 32, 80, 94, 71, 50, 14, 44, 30, 81, 64, 96, 19]"
80,91,"[41, 70, 69, 10, 13, 7, 22, 37, 38, 42, 3, 0, 33, 66, 46, 7, 51, 43, 50, 51, 13, 98, 22, 6, 62, 79, 21, 4, 52, 67, 15, 13, 30, 34, 97, 58]"
81,47,"[92, 67, 43, 82, 61, 7, 43, 77, 82, 89, 13, 57, 32, 88, 19, 48, 32, 17, 24, 59, 62, 59, 39, 41, 54, 64, 25, 30, 94, 53, 40, 18, 82, 87, 92, 29]"
82,87,"[33, 40, 78, 50, 30, 9, 48, 88, 55, 57, 84, 71, 7, 84, 76, 43, 19, 9, 12, 58, 95, 64, 83, 60, 51, 68, 32, 22, 52, 7, 69, 67, 55, 38, 40, 93]"
83,47,"[39, 90, 85, 99, 93, 62, 80, 66, 83, 45, 30, 37, 75, 66, 60, 56, 1, 40, 6, 65, 87, 46, 6, 44, 1, 31, 56, 54, 89, 76, 21, 26, 47, 41, 97, 30]"
84,17,"[16, 72, 75, 48, 36, 17, 51, 56, 96, 72, 28, 40, 50, 69, 82, 56, 26, 96, 4, 14, 2, 64, 48, 43, 47, 39, 13, 20, 33, 2, 96, 27, 66, 31, 23, 0]"
85,8,"[27, 7, 35, 2, 81, 100, 65, 18, 84, 6, 70, 74, 14, 55, 47, 88, 97, 72, 16, 0, 81, 69, 79, 8, 49, 7, 95, 14, 45, 80, 15, 86, 79, 100, 23, 59]"
86,4,"[77, 63, 11, 34, 39, 38, 75, 9, 9, 52, 89, 25, 95, 62, 54, 59, 32, 64, 97, 25, 44, 29, 46, 46, 100, 64, 66, 29, 78, 29, 21, 6, 91, 76, 85, 34]"
87,5,"[10, 49, 23, 34, 55, 91, 36, 2, 17, 78, 23, 38, 48, 5, 27, 25, 4, 91, 77, 19, 22, 52, 42, 73, 77, 22, 36, 25, 12, 25, 17, 42, 10, 20, 0, 27]"
88,48,"[16, 29, 12, 38, 76, 90, 37, 92, 39, 32, 89, 0, 15, 26, 64, 63, 35, 56, 38, 99, 31, 89, 96, 70, 45, 80, 80, 82, 20, 53, 46, 56, 18, 47, 42, 59]"
89,9,"[22, 35, 30, 63, 99, 84, 74, 57, 12, 45, 1, 45, 21, 73, 43, 77, 74, 30, 14, 38, 63, 5, 36, 26, 95, 3, 20, 95, 16, 30, 75, 55, 85, 58, 72, 35]"
90,39,"[82, 40, 76, 59, 51, 67, 67, 49, 85, 93, 20, 66, 86, 31, 55, 78, 92, 12, 58, 19, 73, 11, 16, 40, 80, 37, 56, 70, 36, 4, 28, 75, 69, 88, 66, 89]"
91,60,"[51, 45, 67, 38, 25, 44, 11, 66, 42, 74, 1, 87, 11, 58, 18, 15, 0, 65, 29, 47, 17, 55, 91, 57, 88, 74, 45, 42, 27, 10, 29, 36, 43, 87, 15, 1]"
92,16,"[14, 71, 39, 75, 52, 81, 31, 33, 12, 39, 26, 82, 15, 11, 22, 45, 72, 75, 30, 26, 52, 60, 13, 34, 43, 8, 93, 40, 18, 36, 53, 91, 23, 72, 50, 26]"
93,6,"[29, 31, 41, 69, 5, 9, 84, 96, 99, 42, 6, 9, 92, 22, 53, 74, 46, 14, 44, 33, 90, 84, 73, 79, 44, 33, 91, 4, 75, 36, 81, 19, 7, 54, 23, 5]"
94,19,"[5, 3, 37, 31, 57, 83, 19, 97, 4, 37, 46, 71, 91, 67, 13, 36, 54, 79, 95, 0, 34, 4, 18, 92, 35, 72, 77, 86, 98, 64, 79, 11, 66, 42, 95, 82]"
95,76,"[46, 46, 63, 81, 53, 28, 39, 56, 71, 35, 92, 50, 87, 47, 77, 52, 80, 47, 46, 41, 11, 30, 43, 9, 74, 46, 69, 0, 1, 48, 95, 36, 11, 7, 51, 97]"
96,66,"[23, 3, 30, 99, 90, 1, 54, 8, 44, 81, 48, 40, 37, 9, 16, 45, 23, 93, 94, 94, 69, 80, 47, 65, 17, 23, 68, 40, 6, 10, 80, 33, 3, 1, 39, 88]"
97,83,"[8, 35, 68, 38, 12, 44, 19, 1, 30, 80, 82, 29, 100, 96, 57, 61, 42, 5, 33, 77, 3, 44, 40, 89, 28, 10, 23, 21, 99, 83, 49, 62, 66, 68, 89, 64]"
98,2,"[47, 11, 27, 20, 40, 35, 10, 89, 95, 68, 90, 27, 27, 66, 40, 12, 71, 39, 13, 8, 63, 99, 19, 87, 53, 80, 1, 80, 41, 35, 51, 89, 63, 84, 79, 7]"
99,58,"[52, 77, 77, 40, 23, 96, 44, 98, 17, 64, 87, 1, 34, 65, 18, 81, 6, 33, 65, 45, 98, 46, 65, 51, 30, 91, 69, 53, 62, 91, 11, 92, 74, 46, 60, 3]"
100,17,"[78, 65, 99, 82, 85, 56, 9, 96, 78, 94, 59, 62, 18, 13, 91, 96, 36, 66, 65, 1, 18, 7, 71, 29, 18, 46, 21, 52, 45, 35, 56, 15, 13, 8, 79, 85]"
101,81,"[84, 74, 45, 91, 51, 67, 78, 44, 57, 74, 70, 91, 65, 18, 20, 79, 13, 10, 78, 17, 90, 67, 37, 25, 89, 64, 39, 45, 37, 71, 16, 86, 88, 58, 44, 61]"
102,42,"[77, 42, 80, 93, 67, 0, 47, 74, 12, 14, 17, 58, 1, 45, 47, 45, 72, 87, 21, 92, 2, 37, 0, 51, 99, 72, 30, 18, 38, 92, 90, 22, 37, 53, 22, 53]"
103,40,"[86, 67, 34, 73, 73, 94, 2, 63, 61, 78, 18, 20, 89, 44, 46, 4, 47, 61, 69, 23, 39, 11, 6, 33, 23, 81, 69, 55, 18, 8, 73, 88, 1, 87, 40, 38]"
104,17,"[29, 93, 27, 27, 65, 21, 17, 11, 43, 64, 29, 89, 45, 38, 1, 69, 5, 3, 9, 92, 23, 14, 32, 65, 89, 73, 86, 65, 79, 55, 28, 7, 55, 88, 50, 32]"
105,68,"[63, 91, 80, 45, 89, 49, 84, 34, 63, 37, 65, 21, 82, 46, 90, 18, 68, 81, 15, 16, 57, 5, 4, 93, 35, 36, 12, 4, 23, 54, 89, 74, 12, 71, 1, 61]"
106,50,"[72, 57, 48, 61, 8, 44, 30, 11, 47, 39, 60, 64, 12, 78, 53, 50, 40, 11, 26, 63, 12, 0, 84, 95, 67, 91, 96, 78, 19, 28, 73, 11, 69, 39, 8, 7]"
107,74,"[85, 84, 10, 51, 36, 40, 36, 75, 39, 40, 25, 56, 9, 55, 28, 55, 44, 29, 94, 27, 100, 83, 67, 17, 5, 66, 57, 91, 67, 4, 55, 68, 4, 98, 24, 36]"
108,75,"[11, 62, 37, 53, 79, 64, 71, 0, 98, 63, 63, 55, 78, 28, 40, 39, 1, 82, 92, 51, 57, 18, 60, 28, 85, 0, 19, 13, 75, 94, 54, 6, 76, 23, 59, 80]"
109,100,"[64, 46, 38, 82, 98, 83, 22, 46, 93, 22, 65, 86, 29, 88, 43, 93, 34, 13, 24, 80, 13, 95, 93, 59, 65, 42, 61, 38, 16, 62, 4, 21, 57, 80, 1, 4]"
110,98,"[65, 22, 15, 70, 68, 73, 41, 51, 83, 76, 83, 100, 27, 67, 93, 52, 84, 61, 42, 34, 20, 77, 41, 25, 88, 91, 19, 60, 37, 64, 0, 17, 24, 89, 47, 33]"
111,28,"[44, 21, 61, 66, 62, 32, 65, 91, 93, 14, 0, 35, 56, 92, 47, 65, 41, 72, 69, 12, 24, 73, 18, 79, 19, 74, 78, 0, 61, 100, 54, 2, 90, 65, 56, 41]"
112,18,"[76, 18, 100, 37, 46, 48, 90, 46, 87, 46, 4, 73, 60, 84, 61, 56, 40, 9, 21, 36, 97, 2, 37, 64, 86, 98, 14, 87, 56, 46, 55, 53, 82, 51, 95, 64]"
113,83,"[31, 64, 62, 35, 60, 5, 69, 97, 39, 93, 17, 87, 19, 81, 45, 27, 14, 36, 94, 56, 54, 97, 44, 53, 29, 21, 18, 78, 17, 61, 82, 53, 78, 23, 7, 85]"
114,67,"[84, 7, 17, 12, 27, 82, 91, 78, 34, 18, 88, 21, 44, 71, 28, 31, 29, 64, 58, 88, 15, 90, 83, 25, 14, 62, 50, 86, 83, 39, 82, 52, 87, 45, 17, 75]"
115,88,"[37, 49, 30, 43, 57, 9, 43, 27, 2, 61, 12, 86, 98, 14, 67, 39, 34, 26, 83, 5, 78, 69, 10, 29, 81, 95, 16, 17, 36, 68, 100, 83, 63, 82, 44, 82]"
116,0,"[32, 78, 31, 26, 79, 33, 2, 45, 20, 64, 92, 67, 51, 71, 5, 50, 75, 61, 69, 34, 70, 27, 53, 25, 32, 60, 85, 58, 45, 61, 51, 43, 70, 23, 3, 23]"
117,40,"[60, 34, 86, 72, 13, 48, 73, 40, 46, 31, 2, 19, 97, 47, 54, 84, 3, 79, 14, 27, 97, 86, 70, 83, 99, 54, 23, 51, 95, 14, 77, 13, 71, 57, 90, 46]"
118,58,"[55, 34, 43, 43, 46, 58, 3, 5, 33, 22, 36, 99, 5, 52, 90, 26, 62, 87, 20, 30, 15, 10, 15, 78, 70, 63, 36, 74, 17, 1, 100, 42, 81, 40, 52, 99]"
119,57,"[100, 78, 7, 38, 59, 52, 69, 26, 49, 64, 66, 9, 31, 75, 36, 95, 4, 71, 80, 49, 28, 26, 94, 64, 47, 93, 49, 15, 89, 91, 88, 69, 4, 43, 85, 40]"
120,14,"[14, 43, 10, 62, 41, 48, 84, 4, 90, 51, 96, 83, 66, 38, 85, 69, 91, 54, 42, 53, 75, 44, 12, 76, 98, 68, 25, 24, 67, 61, 86, 86, 48, 61, 76, 15]"
